modele,meilleurs_params,precision,recall,specificity,f1,accuracy,roc_auc,n_train,n_test
LogisticRegression,"{'classifier__solver': 'lbfgs', 'classifier__penalty': 'l2', 'classifier__C': 0.1}",0.49732620320855614,0.6158940397350994,0.8823529411764706,0.5502958579881657,0.84,0.8705832621903207,3800,950
RandomForest,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 5, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 3}",0.9230769230769231,0.07947019867549669,0.9987484355444305,0.14634146341463414,0.8526315789473684,0.8824524032524099,3800,950
GradientBoosting,"{'classifier__subsample': 0.9, 'classifier__n_estimators': 200, 'classifier__min_samples_leaf': 15, 'classifier__max_depth': 4, 'classifier__learning_rate': 0.08}",0.7424242424242424,0.6490066225165563,0.9574468085106383,0.6925795053003534,0.9084210526315789,0.9494069573722119,3800,950
XGBoost,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 2, 'classifier__reg_alpha': 0.5, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 3, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.03, 'classifier__colsample_bytree': 0.6}",0.7481481481481481,0.6688741721854304,0.9574468085106383,0.7062937062937062,0.911578947368421,0.9520344138782749,3800,950
SVC,"{'classifier__kernel': 'rbf', 'classifier__gamma': 'scale', 'classifier__C': 1}",0.5882352941176471,0.5298013245033113,0.9299123904881101,0.5574912891986062,0.8663157894736843,0.8901607141377051,3800,950
KNN,"{'classifier__weights': 'uniform', 'classifier__n_neighbors': 35}",0.3024523160762943,0.7350993377483444,0.6795994993742178,0.42857142857142855,0.6884210526315789,0.7882120862999279,3800,950
