modele,meilleurs_params,precision,recall,specificity,f1,accuracy,roc_auc,n_train,n_test
LogisticRegression,"{'classifier__solver': 'lbfgs', 'classifier__penalty': 'l2', 'classifier__C': 0.1}",0.5081081081081081,0.6225165562913907,0.886107634543179,0.5595238095238095,0.8442105263157895,0.8716359024940116,3800,950
RandomForest,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 5, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 3}",0.9375,0.09933774834437085,0.9987484355444305,0.17964071856287425,0.8557894736842105,0.8796757536324379,3800,950
GradientBoosting,"{'classifier__subsample': 0.9, 'classifier__n_estimators': 300, 'classifier__min_samples_leaf': 10, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.05}",0.7426470588235294,0.6688741721854304,0.9561952440550688,0.7038327526132404,0.9105263157894737,0.9487272998532934,3800,950
XGBoost,"{'classifier__subsample': 0.8, 'classifier__reg_lambda': 5, 'classifier__reg_alpha': 0.5, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 3, 'classifier__max_depth': 4, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.6}",0.7318840579710145,0.6688741721854304,0.9536921151439299,0.698961937716263,0.9084210526315789,0.9514459299289675,3800,950
SVC,"{'classifier__kernel': 'rbf', 'classifier__gamma': 'scale', 'classifier__C': 1}",0.5821917808219178,0.5629139072847682,0.9236545682102628,0.5723905723905723,0.8663157894736843,0.8895556531757411,3800,950
KNN,"{'classifier__weights': 'uniform', 'classifier__n_neighbors': 35}",0.2972972972972973,0.7284768211920529,0.6745932415519399,0.42226487523992323,0.6831578947368421,0.7824018433638075,3800,950
